('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;4.64%
2022-08-10 21:30:00;ATP Montreal (hard);Schwartzman D.;Ramos A.;1.44;3.16;1;0.9792;1.0112;1.0112;0.68;0.32;0.68;2;2.16;-1;-1;1.44;;HitRate;68.1%
2022-08-11 00:10:00;ATP Montreal (hard);Nishioka Y.;Auger-Aliassime F.;3.53;1.37;2;1.2708;0.8768;1.2708;0.36;0.64;0.64;1;-1;0.37;-0.63;1.37;;AvgOdd;1.723484461
2022-08-11 16:10:00;ATP Montreal (hard);Ruud C.;Bautista-Agut R.;1.81;2.16;2;0.6516;1.3824;1.3824;0.36;0.64;0.64;2;-1;-1;-1.63;2.16;;;
2022-08-11 18:00:00;ATP Montreal (hard);Ramos A.;Hurkacz H.;5.69;1.2;2;0.9104;1.008;1.008;0.16;0.84;0.84;2;0.2;0.2;-1.43;1.2;;;
2022-08-12 18:20:00;ATP Montreal (hard);Ruud C.;Auger-Aliassime F.;2.57;1.6;2;0.6168;1.216;1.216;0.24;0.76;0.76;2;-1;-1;-2.43;1.6;;;
2022-08-12 22:45:00;ATP Montreal (hard);Evans D.;Paul T.;2.4;1.68;1;1.536;0.6048;1.536;0.64;0.36;0.64;1;1.4;1.4;-1.03;2.4;;;
2022-08-13 14:10:00;ATP Cincinnati 2022 (hard);Johnson S.;Mannarino A.;2.35;1.83;2;0.846;1.1712;1.1712;0.36;0.64;0.64;2;-1;-1;-2.03;1.83;;;
2022-08-13 16:20:00;ATP Cincinnati 2022 (hard);Martinez P.;Tseng C. H.;1.53;2.65;2;0.4896;1.802;1.802;0.32;0.68;0.68;2;1.65;1.65;-0.38;2.65;;;
2022-08-13 20:30:00;ATP Cincinnati 2022 (hard);Kozlov S.;Lajovic D.;3.19;1.46;2;1.1484;0.9344;1.1484;0.36;0.64;0.64;1;-1;0.46;0.08;1.46;;;
2022-08-14 17:45:00;ATP Cincinnati 2022 (hard);Munar J.;Johnson S.;1.84;1.94;2;0.5888;1.3192;1.3192;0.32;0.68;0.68;2;-1;-1;-0.92;1.94;;;
2022-08-14 18:00:00;ATP Cincinnati 2022 (hard);Sonego L.;Klahn B.;1.14;6.5;1;0.8208;1.82;1.82;0.72;0.28;0.72;2;-1;0.14;-0.78;1.14;;;
2022-08-15 02:40:00;ATP Cincinnati 2022 (hard);McDonald M.;Basilashvili N.;1.42;3.13;1;0.9088;1.1268;1.1268;0.64;0.36;0.64;2;-1;0.42;-0.36;1.42;;;
2022-08-15 15:10:00;ATP Cincinnati 2022 (hard);Bautista-Agut R.;Cerundolo F.;1.4;3.36;1;0.896;1.2096;1.2096;0.64;0.36;0.64;2;-1;0.4;0.04;1.4;;;
2022-08-15 18:05:00;ATP Cincinnati 2022 (hard);Bonzi B.;Isner J.;2.35;1.67;2;0.752;1.1356;1.1356;0.32;0.68;0.68;2;0.67;0.67;0.71;1.67;;;
2022-08-15 23:00:00;ATP Cincinnati 2022 (hard);Khachanov K.;Korda S.;2.19;1.78;2;0.438;1.424;1.424;0.2;0.8;0.8;2;0.78;0.78;1.49;1.78;;;
2022-08-16 15:10:00;ATP Cincinnati 2022 (hard);Kokkinakis T.;Sinner J.;4.8;1.23;2;1.344;0.8856;1.344;0.28;0.72;0.72;1;-1;0.23;1.72;1.23;;;
2022-08-16 16:40:00;ATP Cincinnati 2022 (hard);Laaksonen H.;De Minaur A.;9;1.11;2;2.52;0.7992;2.52;0.28;0.72;0.72;1;-1;0.11;1.83;1.11;;;
2022-08-16 16:45:00;ATP Cincinnati 2022 (hard);Ramos A.;Fognini F.;1.93;2.12;2;0.6176;1.4416;1.4416;0.32;0.68;0.68;2;1.12;1.12;2.95;2.12;;;
2022-08-16 23:10:00;ATP Cincinnati 2022 (hard);McDonald M.;Alcaraz C.;7.38;1.16;2;2.6568;0.7424;2.6568;0.36;0.64;0.64;1;-1;0.16;3.11;1.16;;;
2022-08-16 23:20:00;ATP Cincinnati 2022 (hard);Krajinovic F.;Evans D.;2.67;1.62;2;0.9612;1.0368;1.0368;0.36;0.64;0.64;2;-1;-1;2.11;1.62;;;
2022-08-17 01:00:00;ATP Cincinnati 2022 (hard);Karatsev A.;Schwartzman D.;1.99;1.97;1;1.2736;0.7092;1.2736;0.64;0.36;0.64;1;-1;-1;1.11;1.99;;;
2022-08-17 15:15:00;ATP Cincinnati 2022 (hard);Fognini F.;Rublev A.;5.38;1.21;2;1.7216;0.8228;1.7216;0.32;0.68;0.68;1;-1;0.21;1.32;1.21;;;
2022-08-17 16:45:00;ATP Cincinnati 2022 (hard);Isner J.;Hurkacz H.;2.8;1.51;1;1.904;0.4832;1.904;0.68;0.32;0.68;1;1.8;1.8;3.12;2.8;;;
2022-08-18 15:10:00;ATP Cincinnati 2022 (hard);Fritz T.;Rublev A.;1.51;2.76;2;0.5436;1.7664;1.7664;0.36;0.64;0.64;2;-1;-1;2.12;2.76;;;
2022-08-18 19:20:00;ATP Cincinnati 2022 (hard);Bautista-Agut R.;Coric B.;1.54;2.75;2;0.5544;1.76;1.76;0.36;0.64;0.64;2;1.75;1.75;3.87;2.75;;;
2022-08-18 20:05:00;ATP Cincinnati 2022 (hard);Korda S.;Isner J.;1.59;2.75;2;0.4452;1.98;1.98;0.28;0.72;0.72;2;1.75;1.75;5.62;2.75;;;
