('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;2.68%
2022-08-10 21:30:00;ATP Montreal (hard);Schwartzman D.;Ramos A.;1.44;3.16;1;0.8064;1.3904;1.3904;0.56;0.44;0.56;2;2.16;-1;-1;1.44;;HitRate;63.4%
2022-08-10 23:40:00;ATP Montreal (hard);Rublev A.;Evans D.;1.39;3.76;2;0.5282;2.3312;2.3312;0.38;0.62;0.62;2;2.76;2.76;1.76;3.76;;AvgOdd;1.863681529
2022-08-11 00:10:00;ATP Montreal (hard);Nishioka Y.;Auger-Aliassime F.;3.53;1.37;2;1.059;0.959;1.059;0.3;0.7;0.7;1;-1;0.37;2.13;1.37;;;
2022-08-11 16:10:00;ATP Montreal (hard);Ruud C.;Bautista-Agut R.;1.81;2.16;2;0.724;1.296;1.296;0.4;0.6;0.6;2;-1;-1;1.13;2.16;;;
2022-08-11 18:00:00;ATP Montreal (hard);Ramos A.;Hurkacz H.;5.69;1.2;2;1.2518;0.936;1.2518;0.22;0.78;0.78;1;-1;0.2;1.33;1.2;;;
2022-08-11 21:00:00;ATP Montreal (hard);Norrie C.;Auger-Aliassime F.;2.1;1.83;2;0.756;1.1712;1.1712;0.36;0.64;0.64;2;0.83;0.83;2.16;1.83;;;
2022-08-11 21:10:00;ATP Montreal (hard);Evans D.;Fritz T.;2.87;1.5;2;1.0906;0.93;1.0906;0.38;0.62;0.62;1;1.87;-1;1.16;1.5;;;
2022-08-12 18:20:00;ATP Montreal (hard);Ruud C.;Auger-Aliassime F.;2.57;1.6;2;0.7196;1.152;1.152;0.28;0.72;0.72;2;-1;-1;0.16;1.6;;;
2022-08-13 01:25:00;ATP Montreal (hard);Carreno-Busta P.;Draper J.;1.42;3.22;1;0.7952;1.4168;1.4168;0.56;0.44;0.56;2;-1;0.42;0.58;1.42;;;
2022-08-13 14:10:00;ATP Cincinnati 2022 (hard);Johnson S.;Mannarino A.;2.35;1.83;2;1.034;1.0248;1.034;0.44;0.56;0.56;1;1.35;-1;-0.42;1.83;;;
2022-08-13 14:10:00;ATP Cincinnati 2022 (hard);Munar J.;O'Connell C.;1.73;2.26;2;0.692;1.356;1.356;0.4;0.6;0.6;2;-1;-1;-1.42;2.26;;;
2022-08-13 16:20:00;ATP Cincinnati 2022 (hard);Martinez P.;Tseng C. H.;1.53;2.65;2;0.5508;1.696;1.696;0.36;0.64;0.64;2;1.65;1.65;0.23;2.65;;;
2022-08-13 20:30:00;ATP Cincinnati 2022 (hard);Kozlov S.;Lajovic D.;3.19;1.46;2;1.4036;0.8176;1.4036;0.44;0.56;0.56;1;-1;0.46;0.69;1.46;;;
2022-08-13 21:55:00;ATP Cincinnati 2022 (hard);Musetti L.;Altmaier D.;1.53;2.9;2;0.612;1.74;1.74;0.4;0.6;0.6;2;-1;-1;-0.31;2.9;;;
2022-08-14 00:15:00;ATP Montreal (hard);Carreno-Busta P.;Evans D.;1.51;2.9;2;0.6342;1.682;1.682;0.42;0.58;0.58;2;-1;-1;-1.31;2.9;;;
2022-08-14 17:45:00;ATP Cincinnati 2022 (hard);Munar J.;Johnson S.;1.84;1.94;2;0.7728;1.1252;1.1252;0.42;0.58;0.58;2;-1;-1;-2.31;1.94;;;
2022-08-14 17:55:00;ATP Cincinnati 2022 (hard);Laaksonen H.;Monteiro T.;2.75;1.49;2;1.155;0.8642;1.155;0.42;0.58;0.58;1;1.75;-1;-3.31;1.49;;;
2022-08-14 17:55:00;ATP Cincinnati 2022 (hard);Tseng C. H.;Goffin D.;1.87;2.08;1;1.0472;0.9152;1.0472;0.56;0.44;0.56;1;;;-3.31;1.87;;;
2022-08-14 18:00:00;ATP Cincinnati 2022 (hard);Sonego L.;Klahn B.;1.14;6.5;1;0.7524;2.21;2.21;0.66;0.34;0.66;2;-1;0.14;-3.17;1.14;;;
2022-08-14 20:10:00;ATP Montreal (hard);Hurkacz H.;Carreno-Busta P.;1.71;2.38;2;0.7182;1.3804;1.3804;0.42;0.58;0.58;2;1.38;1.38;-1.79;2.38;;;
2022-08-14 23:05:00;ATP Cincinnati 2022 (hard);Musetti L.;Lajovic D.;1.62;2.59;1;0.9072;1.1396;1.1396;0.56;0.44;0.56;2;-1;0.62;-1.17;1.62;;;
2022-08-15 15:10:00;ATP Cincinnati 2022 (hard);Molcan A.;Schwartzman D.;2.34;1.73;2;0.936;1.038;1.038;0.4;0.6;0.6;2;0.73;0.73;-0.44;1.73;;;
2022-08-15 17:05:00;ATP Cincinnati 2022 (hard);Ruusuvuori E.;Wolf J.J.;1.6;2.6;2;0.672;1.508;1.508;0.42;0.58;0.58;2;-1;-1;-1.44;2.6;;;
2022-08-15 18:05:00;ATP Cincinnati 2022 (hard);Bonzi B.;Isner J.;2.35;1.67;2;0.893;1.0354;1.0354;0.38;0.62;0.62;2;0.67;0.67;-0.77;1.67;;;
